rollout/ep_rew_mean,time/fps,train/loss,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/n_updates,time/episodes,train/learning_rate
-743.36237475,9,0.0009732604376040399,544,1344.0,5376,0.46777599999999975,375,4,0.0005
-729.729113,10,0.0007628261810168624,1065,1344.0,10752,0.01,5751,8,0.0005
-814.4285932499998,10,0.0003309149469714612,1567,1344.0,16128,0.01,11127,12,0.0005
-1105.3430165625,10,0.0008601978188380599,2130,1344.0,21504,0.01,16503,16,0.0005
-931.4291307500001,9,0.0006701811216771603,2734,1344.0,26880,0.01,21879,20,0.0005
-794.121276,9,0.0008174927206709981,3381,1344.0,32256,0.01,27255,24,0.0005
-704.1142366785714,9,0.00031243677949532866,4031,1344.0,37632,0.01,32631,28,0.0005
-620.667500375,9,0.00045298811164684594,4661,1344.0,43008,0.01,38007,32,0.0005
-716.1750914444445,9,0.0009509275550954044,5335,1344.0,48384,0.01,43383,36,0.0005
-697.03330765,9,0.0018889951752498746,5963,1344.0,53760,0.01,48759,40,0.0005
-663.1542755681818,8,0.001591718988493085,6622,1344.0,59136,0.01,54135,44,0.0005
-627.6112982916667,8,0.00255903834477067,7286,1344.0,64512,0.01,59511,48,0.0005
-603.5318666346153,8,0.0008906635921448469,7935,1344.0,69888,0.01,64887,52,0.0005
-562.4663295,8,0.0012062675086781383,8640,1344.0,75264,0.01,70263,56,0.0005
-534.0717162666666,8,0.0012407167814671993,9319,1344.0,80640,0.01,75639,60,0.0005
-516.288112828125,8,0.0022535345051437616,9994,1344.0,86016,0.01,81015,64,0.0005
-523.8175939117648,8,0.002148061292245984,10660,1344.0,91392,0.01,86391,68,0.0005
-509.08092705555566,8,0.0018319713417440653,11351,1344.0,96768,0.01,91767,72,0.0005
