rollout/exploration_rate,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/loss,time/episodes
0.01,0.0005,5351,-64751.150438749995,620,5376,8,1344.0,1.2295951843261719,4
0.01,0.0005,10727,-37689.075841,1136,10752,9,1344.0,1.9357129335403442,8
0.01,0.0005,16103,-35794.853780666665,1647,16128,9,1344.0,1.353624701499939,12
0.01,0.0005,21479,-51919.865853625,2234,21504,9,1344.0,1.849352478981018,16
0.01,0.0005,26855,-43601.8258116,2822,26880,9,1344.0,1.453669786453247,20
0.01,0.0005,32231,-37477.097856458335,3394,32256,9,1344.0,1.4340264797210693,24
0.01,0.0005,37607,-33047.98001082143,3985,37632,9,1344.0,1.4765827655792236,28
0.01,0.0005,42983,-29424.32277025,4563,43008,9,1344.0,2.2066056728363037,32
0.01,0.0005,48359,-31540.469089694452,5150,48384,9,1344.0,1.3207976818084717,36
0.01,0.0005,53735,-30409.0719533,5686,53760,9,1344.0,1.1297122240066528,40
0.01,0.0005,59111,-29353.083036454547,6253,59136,9,1344.0,1.7179882526397705,44
0.01,0.0005,64487,-27952.9414670625,6839,64512,9,1344.0,2.0386834144592285,48
0.01,0.0005,69863,-26932.68287894231,7379,69888,9,1344.0,3.5613794326782227,52
0.01,0.0005,75239,-25143.149768392857,7936,75264,9,1344.0,1.6798871755599976,56
0.01,0.0005,80615,-23994.98328541667,8482,80640,9,1344.0,2.6331753730773926,60
0.01,0.0005,85991,-23616.226753546878,9013,86016,9,1344.0,2.049758195877075,64
0.01,0.0005,91367,-24135.47538077941,9551,91392,9,1344.0,1.8252735137939453,68
0.01,0.0005,96743,-23919.40003373611,10115,96768,9,1344.0,1.717672348022461,72
