train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/loss,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/episodes,train/learning_rate
37,-748323.004796,528,5376,549.7382202148438,0.001,1344.0,10,4,0.0001
575,-961847.875905875,916,10752,540.741455078125,0.001,1344.0,11,8,0.0001
1112,-841330.6184722501,1292,16128,319.2208557128906,0.001,1344.0,12,12,0.0001
1650,-954165.8318637501,1787,21504,275.65802001953125,0.001,1344.0,12,16,0.0001
2187,-808190.13275595,2302,26880,68.35057067871094,0.001,1344.0,11,20,0.0001
2725,-710480.7933590001,2806,32256,94.63069152832031,0.001,1344.0,11,24,0.0001
3263,-624646.3120302858,3318,37632,42.080055236816406,0.001,1344.0,11,28,0.0001
3800,-556397.1844236562,3821,43008,60.466129302978516,0.001,1344.0,11,32,0.0001
4338,-575618.7339189167,4378,48384,41.27922821044922,0.001,1344.0,11,36,0.0001
4875,-548966.074451325,4879,53760,46.28316116333008,0.001,1344.0,11,40,0.0001
5413,-514380.55571743177,5420,59136,43.98692321777344,0.001,1344.0,10,44,0.0001
5951,-487440.8078667917,5974,64512,49.651058197021484,0.001,1344.0,10,48,0.0001
6488,-464638.080927173,6523,69888,35.60490417480469,0.001,1344.0,10,52,0.0001
7026,-434013.40364894643,7133,75264,46.26981735229492,0.001,1344.0,10,56,0.0001
7563,-411087.58796973334,7699,80640,105.20540618896484,0.001,1344.0,10,60,0.0001
8101,-401715.16598921875,8247,86016,56.37747573852539,0.001,1344.0,10,64,0.0001
8639,-407837.5626030588,8790,91392,48.17720413208008,0.001,1344.0,10,68,0.0001
9176,-396518.42550463893,9350,96768,61.6222038269043,0.001,1344.0,10,72,0.0001
